id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в цифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники;Телефон;Ссылка на видео;VK;Instagram;YouTube;Средний бал по бюджету;Средний бал по договору;import_id (Для внутренних целей, менять не нужно)
1000052;Центральный ФО;Воронежская область;Воронежский филиал РАНХиГС;"Воронежский филиал ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""";Негосударственный вуз;Государственный;ranepa.ru;394005, ОБЛАСТЬ ВОРОНЕЖСКАЯ, ГОРОД ВОРОНЕЖ, ПРОСПЕКТ МОСКОВСКИЙ, ДОМ 143;"Бакалавриат: 8 (473) 253-82-52; магистратура:  8 (473) 242-77-21; аспирантура: 8 (473) 274-03-93";от 07.12.2018 №2787. Бессрочно;;;;;Нет;Есть;;Нет;;;;;;;8 (473) 247-73-00;;;;;74.94;58.39;745
1000053;Уральский ФО;Свердловская область;Уральский филиал ИЦЧП;"Уральский филиал ""Исследовательский центр частного права имени С.С. Алексеева при Президенте Российской Федерации""";Негосударственный вуз;Государственный;;620014, обл Свердловская, г Екатеринбург, ул Вайнера, ДОМ 9А;;от 20.08.2015 №1603, бессрочная;;;;;;;;;;;;;;;34337134944;;;;;;;778
1000054;Центральный ФО;г. Москва;ВТУ им.М.С.Щепкина;Высшее театральное училище (институт) им.М.С.Щепкина при Государственном академическом Малом театре России;Негосударственный вуз;Государственный;shepkinskoe.ru;"109012, г Москва, ул Неглинная, 6/2, СТР.1;2";4956214702;от 09.02.2015 №1268, бессрочная;;;;;Нет;Есть;;Есть;150 — 2000 ₽;150 — 2000 ₽;;;;;4956231880;;https://vk.com/shchepkinskoe;;;71.8;70.3;790
1000055;Уральский ФО;Тюменская область;ТГИК;Тюменский государственный институт культуры;Негосударственный вуз;Государственный;tumgik.ru;625003, обл Тюменская, г Тюмень, ул Республики, ДОМ 19;8(3452)29-70-86;от 23.06.2015 №1504, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;83452297039;https://www.youtube.com/watch?v=e2vOEGQxEtc&feature=youtu.be;https://vk.com/stud_tgik;;;69.47;63;807
1000056;Приволжский ФО;Республика Башкортостан;УГИИ;Уфимский государственный институт искусств имени Загира Исмагилова;Негосударственный вуз;Государственный;ufaart.ru;450008, Респ Башкортостан, г Уфа, ул Ленина, 14;+7 (347) 276-19-36;от 15.06.2016 №2194, бессрочная;;;;;Нет;Нет;;Есть;400 — 900 ₽;400 — 900 ₽;;;;;+7 (347) 272-49-83;https://www.youtube.com/watch?v=VhcfNqw3V5o;;;;69.7;65.36;808
1000057;Дальневосточный ФО;Хабаровский край;ДВГМУ;Дальневосточный государственный медицинский университет;Негосударственный вуз;Государственный;fesmu.ru;680000, край Хабаровский, г Хабаровск, ул Муравьева-Амурского, 35;8(4212) 30-23-56;от 06.09.2016 №2369, бессрочная;;;;;Нет;Нет;;Есть;;;;;;;4212305311;https://www.youtube.com/watch?v=XFGTAxDtxoo;https://vk.com/fesmu_news;;https://www.youtube.com/channel/UCJrwcBgloRHZmN40n4W1U1w;73.77;55.99;817
1000058;Сибирский ФО;Иркутская область;ИГМУ;Иркутский государственный медицинский университет;Негосударственный вуз;Государственный;mir.ismu.baikal.ru;664003, обл Иркутская, г Иркутск, ул Красного Восстания, 1;8(3952)243843;от 03.11.2016 №2454, бессрочная;;;;;Нет;;;;;;;;;;83952243825;;;;;75.95;57.38;819
1000059;Северо-Западный ФО;Архангельская область;СГМУ;Северный государственный медицинский университет;Негосударственный вуз;Государственный;nsmu.ru;163000, обл Архангельская, г Архангельск, пр-кт Троицкий, 51;8182207580;от 23.09.2016 №2400, бессрочная;;;;;Нет;;;Есть;;;;;;;8182285791;;https://vk.com/nsmu_abi;;;73.74;60.19;825
1000060;Сибирский ФО;Кемеровская область;Кузбасская ГСХА;Кузбасская государственная сельскохозяйственная академия;Негосударственный вуз;Государственный;www.ksai.ru;650056, Кемеровская обл., г. Кемерово, ул. Марковцева, дом 5;8 (3842) 73-51-35;от 04.07.2019 №2838. Бессрочно;;;;;Нет;Есть;;Есть;575 — 700 ₽;575 — 700 ₽;;;;;8 (3842) 73-43-59;www.youtube.com/watch?v=gU3eGKxEQz8;https://vk.com/kemgshiofficial;https://www.instagram.com/kuzgsha/?hl=ru;https://www.youtube.com/channel/UCfdrLkqaSiwGhglHKfwMtqw;50.43;50.34;843
1000061;Центральный ФО;г. Москва;ИЗиСП;Институт законодательства и сравнительного правоведения при Правительстве Российской Федерации;Негосударственный вуз;Государственный;;117218, г Москва, ул Черёмушкинская Б., 34;;от 08.08.2013 №0813, бессрочная;;;;;;;;;;;;;;;4957197000;;;;;;;868
1000062;Южный ФО;Ростовская область;ИВТ им. Г. Я. Седова;"Институт водного транспорта имени Г.Я. Седова - Филиал ""Государственный Морской Университет имени адмирала Ф.Ф. Ушакова""";Негосударственный вуз;Государственный;www.iwtsedov.ru;344006, обл Ростовская, г Ростов-на-Дону, ул Седова, ДОМ 8;8 (863) 253-94-88;от 20.04.2015 №1393, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8 (863) 333-28-34;;https://vk.com/iwtsedovru;https://www.instagram.com/iwt_rnd/;https://youtu.be/asxamSRLfts;58.52;44.44;895
1000063;Сибирский ФО;Алтайский край;Алтайский филиал Финуниверситета;"Алтайский филиал ""Финансовый университет при Правительстве Российской Федерации""";Негосударственный вуз;Государственный;altai.fa.ru;656038, край Алтайский, г Барнаул, пр-кт Ленина, ДОМ 54;(3852) 56-92-86;от 09.06.2015 №1495, бессрочная;;;;;Нет;Есть;;Есть;961 — 1202 ₽;961 — 1202 ₽;;;;;(3852) 56-92-70;https://youtu.be/oBpuF_NUf5E;https://vk.com/fabarnaul;https://www.instagram.com/finuniverbarnaul/;https://www.youtube.com/channel/UC_KSwCpMUCfehhKzNDm5Y9Q;75.88;56.96;902
1000064;Уральский ФО;Челябинская область;Уральский филиал Финуниверситета;"Уральский филиал ""Финансовый университет при Правительстве Российской Федерации""";Негосударственный вуз;Государственный;"http://www.old.fa.ru/fil/chelyabinsk;  Http://www.fa.ru/fil/chelyabinsk";454084, обл Челябинская, г Челябинск, ул Работниц, 58;(351)791-84-54, +7-950-727-28-03;от 09.06.2015 №1495, бессрочная;;;;;Нет;Есть;;Есть;863.82 — 3647.41 ₽;863.82 — 3647.41 ₽;;;;;3517915423;https://youtu.be/_GSsVF_5vjk;https://vk.com/fa_che;https://www.instagram.com/finuniver74;;75.74;61.05;914
1000065;Центральный ФО;Калужская область;Калужский филиал Финуниверситета;"Калужский филиал ""Финансовый университет при Правительстве Российской Федерации""";Негосударственный вуз;Государственный;kaluga.fa.ru;248016, обл Калужская, г Калуга, ул Чижевского, 17;8(4842) 74-31-76;от 09.06.2015 №1495, бессрочная;;;;;Нет;Есть;;Есть;564.12 — 1094.09 ₽;564.12 — 1094.09 ₽;;;;;4842745443;;https://vk.com/finuniver_kf;https://www.instagram.com/kaluga_finuniversitet/;;72.74;54.17;917
1000066;Центральный ФО;Брянская область;Мичуринский филиал БГАУ;"Мичуринский филиал ""Брянский государственный аграрный университет""";Негосударственный вуз;Государственный;http://www.bgsha.com/ru/faculties/mich_branch/New_Site/Welcome.php;241524, обл Брянская, р-н Брянский, п Мичуринский, ул Березовая, 1;8 (4832) 91-11-30;от 02.04.2015 №1358, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8 (4832) 91-12-34;;https://vk.com/vk_bgau;;;3.9;3.77;953
1000067;Северо-Западный ФО;Псковская область;Великолукский филиал ПГУПС ;"Великолукский филиал ""Петербургский государственный университет путей сообщения Императора Александра I""";Негосударственный вуз;Государственный;vf-pgups.ru;182101, обл Псковская, г Великие Луки, пр-кт Гагарина, ДОМ 95;;от 21.07.2016 №2280, бессрочная;;;;;Нет;;;;;;;;;;8115396280;;;;;;;954
1000068;Уральский ФО;Челябинская область;Институт агроэкологии - филиал ЮУрГАУ;"Институт агроэкологии-филиал ""Южно-Уральский государственный аграрный университет""";Негосударственный вуз;Государственный;insagro.sursau.ru;456660, Челябинская область, Красноармейский район, село Миасское, ул. Советская, д. 8;+7 (35150) 20133;от 30.12.2015 №1852, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;+7 (35150) 2-01-00;https://www.youtube.com/watch?v=_Xbt5pP4bx8;https://vk.com/insagro;;https://www.youtube.com/channel/UCiuTP7LejniOL0xOXOrBF2w;55.33;55;958
1000069;Северо-Западный ФО;Республика Карелия;Петрозаводский филиал ПГУПС;"Петрозаводский филиал ""Петербургский государственный университет путей сообщения Императора Александра I""";Негосударственный вуз;Государственный;pgups-karelia.ru;185680, Респ Карелия, г Петрозаводск, ул Анохина, ДОМ 16;;от 21.07.2016 №2280, бессрочная;;;;;Нет;;;;;;;;;;8142714223;;;;;;;962
1000070;Северо-Кавказский ФО;Кабардино-Балкарская Республика;Терский филиал КБГАУ;"Терский филиал ""Кабардино-Балкарский государственный аграрный университет имени В.М. Кокова""";Негосударственный вуз;Государственный;;361009, Респ Кабардино-Балкарская, р-н Прохладненский, с Учебное, ул Школьная, 1;(886631) 95-3-40;от 02.10.2015 №1676, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8663195919;;;;;;;971
1000071;Северо-Западный ФО;г. Санкт-Петербург;СПИИРАН;Санкт-Петербургский институт информатики и автоматизации Российской академии наук;Негосударственный вуз;Государственный;http://www.spiiras.nw.ru;199178, г Санкт-Петербург, линия 14-я В.О., 39;812 328-34-11, 328-68-36;от 17.04.2012 №2719, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;812 328-34-11;https://www.youtube.com/watch?v=juTgivZc-x4;;;;;;978
1000072;Центральный ФО;г. Москва;НИИОПП;Научно-исследовательский институт общей патологии и патофизиологии;Негосударственный вуз;Государственный;niiopp.ru;125315, г Москва, ул Балтийская, ДОМ 8;;от 11.02.2015 №1275, бессрочная;;;;;Нет;Есть;;;;;;;;;4991511756;;;;;;;979
1000073;Центральный ФО;Московская область;ДРТИ - филиал АГТУ;"Дмитровский рыбохозяйственный технологический институт (филиал) ""Астраханский государственный технический университет""";Негосударственный вуз;Государственный;дрти.рф;141821, обл Московская, р-н Дмитровский, п Рыбное, 36;89099048448;от 14.10.2016 №2435, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;"8-495-994-97-12; 8-495-994-97-54; 8-495-993-79-51";;https://vk.com/publicdrti;;;54.28;51;981
1000074;Северо-Западный ФО;Мурманская область;Филиал МАГУ в Апатиты;"Филиал ""Мурманский арктический государственный университет"" в Апатиты";Негосударственный вуз;Государственный;www.arcticsu.ru;184209, обл Мурманская, г Апатиты, ул Лесная, ДОМ 29;8(815-55) 6-62-20, 8-964-687-00-05;от 30.12.2015 №1854, бессрочная;;;;;Нет;Есть;;Есть;245 — 800 ₽;245 — 800 ₽;;;;;8152213890;;https://vk.com/maguapatity;;;;;984
1000075;Центральный ФО;г. Москва;ЦГМА;Центральная государственная медицинская академия;Негосударственный вуз;Государственный;http://cgma.su;121359, г Москва, ул Маршала Тимошенко, ДОМ 19, СТРОЕНИЕ  1А;4991410471;от 18.08.2015 №1600, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;4991495827;https://www.youtube.com/watch?v=ZVHI2f9m7xE;;;https://www.youtube.com/channel/UC9kFdKtdia_K5DkLu6RVsog;96.8;85.5;985
1000076;Центральный ФО;Московская область;Ивантеевский филиал Московского Политеха;"Ивантеевский филиал ""Московский политехнический университет""";Негосударственный вуз;Государственный;http://ivanteevka.mospolytech.ru/;141280, обл Московская, г Ивантеевка, ул Ленина, ДОМ 44;(496) 536-04-94, (495) 993-33-14;от 22.09.2016 №2398. Бессрочно;;;;;Нет;Есть;;Есть;350 — 1100 ₽;350 — 1100 ₽;;;;;(496) 536-04-94, (495) 993-33-14;;https://vk.com/iv_mospolytech;www.instagram.com/ivant_mpu;;4.11;3.65;986
1000077;Центральный ФО;Московская область;Тучковский филиал Московского Политеха;"Тучковский филиал ""Московский политехнический университет""";Негосударственный вуз;Государственный;www.tatk.ru;143142, обл Московская, г Руза, рп Тучково, ул Студенческая, дом 1;8-496-273-77-10;от 22.09.2016 №2398. Бессрочно;;;;;Нет;Нет;;Есть;370 — 740 ₽;370 — 740 ₽;;;;;8-496-273-77-41;;https://vk.com/politehtuch;https://www.instagram.com/polytech_tuchkovo/;;;;989
1000078;Приволжский ФО;Нижегородская область;БФ ННГУ;"Балахнинский филиал ""Нижегородский государственный университет""";Негосударственный вуз;Государственный;http://www.unn.ru/cdo/Balakhna/sveden/common;606400, обл Нижегородская, р-н Балахнинский, г Балахна, ул Дзержинского, ДОМ 21;8 (831 44) 6-52-40, 6-71-70, 6-71-72, 6-51-63, 8 (831) 462-36-09;от 02.12.2016 №2490, бессрочная;;;;;Нет;Нет;;Есть;;;;;;;8 (83144) 671-70,  8 (83144) 671-73,  8 (83144) 671-72,  8 (83144) 651-63,  8 (83144) 651-78;;;;;;;992
1000079;Сибирский ФО;Красноярский край;Красноярский филиал СПбГУ ГА;"Красноярский филиал ""Санкт-петербургский государственный университет гражданской авиации""";Негосударственный вуз;Государственный;kfspbguga.ru;660135, край Красноярский, г Красноярск, ул Взлетная, ДОМ 15;;от 23.03.2016 №2021, бессрочная;;;;;Нет;;;;;;;;;;39122800383;;;;;;;996
1000080;Центральный ФО;г. Москва;Университет прокуратуры;Университет прокуратуры Российской Федерации;Негосударственный вуз;Государственный;agprf.org.ru;117638, г Москва, ул Азовская, 2, 1;;от 09.04.2018 №2731, бессрочная;;;;;Нет;;;;;;;;;;49925312814;;;;;;;1010
1000081;Северо-Западный ФО;г. Санкт-Петербург;Санкт-Петербургский юридический институт;"Санкт-Петербургский юридический институт (филиал) ""Университет прокуратуры Российской Федерации""";Негосударственный вуз;Государственный;prokuror.spb.ru;191104, г Санкт-Петербург, пр-кт Литейный, ДОМ 44;(812) 273-33-38;от 09.04.2018 №2731, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;8122725140;;;;;;;1011
1000082;Сибирский ФО;Иркутская область;Иркутский юридический институт;"Иркутский юридический институт (филиал) ""Университет прокуратуры Российской Федерации""";Негосударственный вуз;Государственный;iagprf.org;664035, обл Иркутская, г Иркутск, ул Шевцова, ДОМ 1;;от 09.04.2018 №2731, бессрочная;;;;;Нет;;;;;;;;;;3952779011;;;;;;;1012
1000083;Южный ФО;Республика Крым;Крымский юридический институт;"Крымский юридический институт (филиал) ""Университет прокуратуры Российской Федерации""";Негосударственный вуз;Государственный;;295011, Респ Крым, г Симферополь, ул Гоголя, ДОМ 9;;от 09.04.2018 №2731, бессрочная;;;;;Нет;;;;;;;;;;3652272127;;;;;;;1013
1000084;Центральный ФО;Воронежская область;Филиал РГУПС в Воронеже;"Филиал ""Ростовский государственный университет путей сообщения"" в Воронеже";Негосударственный вуз;Государственный;vfrgups.ru;394026, обл Воронежская, г Воронеж, ул Урицкого, ДОМ 75А;+7(473) 265-32-85;от 26.04.2016 №2118, бессрочная;;;;;Нет;Нет;;Есть;437 — 1050 ₽;437 — 1050 ₽;;;;;4732652303;;https://vk.com/vfrgups;;;;;1014
1000085;Центральный ФО;Ярославская область;Ярославский филиал ПГУПС;"Филиал ""Петербургский государственный университет путей сообщения Императора Александра I"" в Ярославле";Негосударственный вуз;Государственный;yarmiit.ru;150030, обл Ярославская, г Ярославль, ш Суздальское, ДОМ 13;;от 21.07.2016 №2280, бессрочная;;;;;;;;;;;;;;;4852525249;;;;;;;1015
1000086;Приволжский ФО;Нижегородская область;Филиал СамГУПс в Нижнем Новгороде;"Филиал ""Самарский государственный университет путей сообщения"" в Нижнем Новгороде";Негосударственный вуз;Государственный;www.samgups.ru;603011, ОБЛ НИЖЕГОРОДСКАЯ, Г НИЖНИЙ НОВГОРОД, ПЛ КОМСОМОЛЬСКАЯ, ДОМ 3;"8 (831) 248-60-31; 8 (831) 248-60-30";от 18.08.2016 №2342. Бессрочно;;;;;Нет;Есть;;Есть;868 — 1231 ₽;868 — 1231 ₽;;;;;8312621109;;https://vk.com/samgupsnn.official;https://www.instagram.com/samgupsnn.oficial/?utm_source=ig_profile_share&igshid=1rm713jtd13dq;https://www.youtube.com/channel/UCZefdy0M8Ff9MiVmNqUabmQ;56;43;1016
1000087;Центральный ФО;Московская область;МГОТУ;Технологический университет;Негосударственный вуз;Государственный;http://unitech-mo.ru/;141074, обл Московская, г Королев, ул Гагарина, 42;+7 (495) 516-99-46;от 06.07.2015 №1538, бессрочная;;;;;Нет;Есть;;Есть;830 — 830 ₽;830 — 830 ₽;;;;;+7 (495) 516-99-29;https://youtu.be/OOdRfl3Usc8;https://vk.com/unitechmo;https://www.instagram.com/tehnologicheskiy_universitet/;https://www.youtube.com/channel/UC30_r6NLs0m-hn757ZJWD2w;64.8;53.8;1017
1000088;Центральный ФО;Ярославская область;Ярославское высшее военное училище противовоздушной обороны;Ярославское высшее военное училище противовоздушной обороны;Негосударственный вуз;Государственный;;150001, обл Ярославская, г Ярославль, пр-кт Московский, ДОМ 28;;от 17.05.2016 №2137, бессрочная;;;;;Нет;;;;;;;;;;8122371249;;;;;;;1030
1000089;Уральский ФО;Курганская область;Курганский пограничный институт;Курганский пограничный институт;Негосударственный вуз;Государственный;;640016, обл Курганская, г Курган;(3522) 49-81-65, 49-81-24;от 25.11.2015 №1782, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1047
1000090;Северо-Западный ФО;Вологодская область;ВИПЭ ФСИН России;Вологодский институт права и экономики;Негосударственный вуз;Государственный;vipe.fsin.su;160002, обл Вологодская, г Вологда, ул Щетинина, 2;(8172) 519072;от 26.04.2016 №2112, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;88172530103;;https://vk.com/vipe.vologda;;;57;57;1049
1000091;Северо-Кавказский ФО;Республика Дагестан;Институт финансов и права;Институт финансов и права;Негосударственный вуз;Негосударственный;;367009, Респ Дагестан, г Махачкала, ул Магомедтагирова, 39, А;;от 01.06.2015 №1456, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;71.84;1050
1000092;Центральный ФО;г. Москва;АУП;Академия управления и производства;Негосударственный вуз;Негосударственный;http://amp1996.ru/;105082, г Москва, ул Почтовая Б., 26В, СТР. 1;+7(495)120-14-23;от 06.10.2017 №2657. Бессрочно;;;;;Нет;Есть;;Нет;;;;;;;+7(495)120-14-23;;https://vk.com/amp1996;https://www.instagram.com/amp1996.ru/;;0;51.65;1055
1000093;Дальневосточный ФО;Хабаровский край;ХПИ ФСБ России;Хабаровский пограничный институт;Негосударственный вуз;Государственный;;680017, край Хабаровский, г Хабаровск, ул Большая, 85;;от 09.12.2015 №1806, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1058
1000094;Центральный ФО;г. Москва;Академия управления;Академия управления;Негосударственный вуз;Государственный;a.mvd.ru;125171, г Москва, ул Зои и Александра Космодемьянских, ДОМ 8;;от 18.11.2015 №1774, бессрочная;;;;;Нет;;;;;;;;;;4991501034;;;;;;;1068
1000095;Южный ФО;Краснодарский край;КВВУ;Краснодарское высшее военное училище имени Генерала Армии С.М. Штеменко;Негосударственный вуз;Государственный;;350063, край Краснодарский, г Краснодар, ул им Красина, ДОМ 4;;от 18.04.2016 №2093, бессрочная;;;;;Нет;;;;;;;;;;8612683780;;;;;;;1071
1000096;Приволжский ФО;Оренбургская область;Оренбургская духовная семинария;Оренбургская духовная семинария;Негосударственный вуз;Негосударственный;http://orends.ru;460014, обл Оренбургская, г Оренбург, ул Челюскинцев, 17;(3532) 43-13-24;от 04.08.2015 №1576, бессрочная;;;;;Нет;Есть;;Есть;;;;;;;(3532) 43-13-24;;;;;;58;1080
1000097;Приволжский ФО;Самарская область;СЮИ ФСИН России;Самарский юридический институт;Негосударственный вуз;Государственный;www.sui.fsin.su;"443022, обл Самарская, г Самара, ул Рыльская, 24, ""В""";8 (846) 205-67-11 (многоканальный).;от 13.04.2016 №2074, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;" дежурная часть - 8 (846) 205-67-36; секретариат - 8 (846) 255-61-91";https://www.youtube.com/channel/UCH4H9iF3kuQZBAZu40hAwSg?view_as=subscriber;http://vk.com/sui_fsin_rf;;https://www.youtube.com/channel/UCH4H9iF3kuQZBAZu40hAwSg?view_as=subscriber;54;53;1084
1000098;Южный ФО;Краснодарский край;АГСИ;Армавирский гуманитарно-социальный институт;Негосударственный вуз;Негосударственный;www.agsi.ru;352905, край Краснодарский, г Армавир, ул Урицкого, ДОМ 117;(86137) 7-43-38;от 30.12.2015 №1871, бессрочная;;;;;Нет;Есть;;Нет;;;;;;;(86137)7-43-38;;https://vk.com/apsi_vk;;;;52;1089
1000099;Приволжский ФО;Нижегородская область;Институт ФСБ ( Нижний Новгород);Институт федеральной службы безопасности Российской Федерации (Нижний Новгород);Негосударственный вуз;Государственный;;603163, обл Нижегородская, г Нижний Новгород, ш Казанское, 2;;от 28.04.2016 №2121, бессрочная;;;;;Нет;;;;;;;;;;;;;;;;;1098
